page,url,ss,scope,source_query,URL_STRUCTURE_PASS,WANDROZ_QUERY_MATCH,BOOKING_DESTINATION_VERIFIED,AFFILIATE_ATTRIBUTION_VERIFIED,destination_class,notes
amsterdam/aetsveld-oostelijke-vechtoever,https://www.booking.com/searchresults.html?ss=Aetsveld/Oostelijke%20Vechtoever%2C%20Amsterdam%2C%20Netherlands,"Aetsveld/Oostelijke Vechtoever, Amsterdam, Netherlands",area,"Aetsveld/Oostelijke Vechtoever, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/amstel-iii-bullewijk,https://www.booking.com/searchresults.html?ss=Amstel%20III/Bullewijk%2C%20Amsterdam%2C%20Netherlands,"Amstel III/Bullewijk, Amsterdam, Netherlands",area,"Amstel III/Bullewijk, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/amsterdamse-poort-e-o,https://www.booking.com/searchresults.html?ss=Amsterdamse%20Poort%20e.o.%2C%20Amsterdam%2C%20Netherlands,"Amsterdamse Poort e.o., Amsterdam, Netherlands",area,"Amsterdamse Poort e.o., Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/apollobuurt,https://www.booking.com/searchresults.html?ss=Apollobuurt%2C%20Amsterdam%2C%20Netherlands,"Apollobuurt, Amsterdam, Netherlands",area,"Apollobuurt, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/banne-buiksloot,https://www.booking.com/searchresults.html?ss=Banne%20Buiksloot%2C%20Amsterdam%2C%20Netherlands,"Banne Buiksloot, Amsterdam, Netherlands",area,"Banne Buiksloot, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/bellamybuurt,https://www.booking.com/searchresults.html?ss=Bellamybuurt%2C%20Amsterdam%2C%20Netherlands,"Bellamybuurt, Amsterdam, Netherlands",area,"Bellamybuurt, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/betondorp,https://www.booking.com/searchresults.html?ss=Betondorp%2C%20Amsterdam%2C%20Netherlands,"Betondorp, Amsterdam, Netherlands",area,"Betondorp, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/bijlmermuseum,https://www.booking.com/searchresults.html?ss=Bijlmermuseum%2C%20Amsterdam%2C%20Netherlands,"Bijlmermuseum, Amsterdam, Netherlands",area,"Bijlmermuseum, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/bloemendalerpolder,https://www.booking.com/searchresults.html?ss=Bloemendalerpolder%2C%20Amsterdam%2C%20Netherlands,"Bloemendalerpolder, Amsterdam, Netherlands",area,"Bloemendalerpolder, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
amsterdam/buikslotermeer,https://www.booking.com/searchresults.html?ss=Buikslotermeer%2C%20Amsterdam%2C%20Netherlands,"Buikslotermeer, Amsterdam, Netherlands",area,"Buikslotermeer, Amsterdam, Netherlands",PASS,PASS,MANUAL_VERIFICATION_REQUIRED,NOT_ATTRIBUTED_BY_CURRENT_CODE,UNVERIFIED,
